id,name,host_id,host_name_primary,host_name_secondary,neighbourhood,location_id,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,quality_minimum_nights_long,quality_availability_365,quality_price_outlier,quality_last_review_ismissing,quality_reviews_per_month_ismissing,quality_num_missing
289884,Sunny Carriage House W/ Private Bathroom & Laundry,1500490,Hailey,,Logan Square,3634,41.92410783,-87.68525131,Private room,125.0,2,78,2018-09-30,1.0,1,365,False,False,False,False,False,0
290155,Free Nights. Minutes To Mccormick Place And City,1505878,Bob,,Bridgeport,4701,41.82701785,-87.63966882,Entire home/apt,131.0,3,33,2018-10-14,0.4,2,9,False,False,False,False,False,0
298321,Nice Room With King Size Bed,1537881,Marko,,Woodlawn,1986,41.78215833,-87.59026583,Private room,39.0,2,44,2018-09-24,0.55,1,361,False,False,False,False,False,0
308331,"Charming, Cozy And Comfortable Condo",1546210,Dawn,,Edgewater,4364,41.98566814,-87.6604964,Private room,65.0,1,34,2018-11-11,1.34,1,357,False,False,False,False,False,0
312192,Free Nights. Near Everything And Mccormick Place,1505878,Bob,,Bridgeport,3905,41.82767016,-87.63959057,Entire home/apt,142.0,3,27,2018-10-10,0.56,2,90,False,False,False,False,False,0
313227,Whole Private Floor Near Train,259284,Cheryl,,Albany Park,6409,41.96331303,-87.70915598,Entire home/apt,85.0,3,47,2017-07-17,0.58,1,313,False,False,False,False,False,0
325842,Lincoln Park Sunny Modern Home,1666599,Caroline,,Lincoln Park,6088,41.92026289,-87.6589159,Entire home/apt,379.0,6,25,2018-09-22,0.31,1,358,False,False,False,False,False,0
345075,"Spacious, Vintage Hyde Park Apt.",1746524,Patricia,,Kenwood,2647,41.8077042,-87.59435759,Private room,85.0,2,213,2018-10-28,2.64,1,346,False,False,False,False,False,0
349265,Historic Chicago Home Hyde Park,1517871,Jon,,Hyde Park,2678,41.8008596,-87.58948398,Entire home/apt,375.0,7,8,2018-09-17,0.1,2,342,False,False,False,False,False,0
350347,Lounge In A Luxury Loft Near Wrigley Field,845242,Jay,Elisa,Lake View,301,41.9398563,-87.65472987,Entire home/apt,136.0,3,400,2018-11-08,4.9,1,227,False,False,False,False,False,0
372929,Lux Urban 3Br/ 3Ba Duplex + Parking,1876597,The Adventurers,,West Town,4042,41.89862159,-87.65597415,Entire home/apt,295.0,1,179,2018-11-04,2.45,2,347,False,False,False,False,False,0
387336,Lincoln Park Oasis Unit 1 Only,15365,Reem,,Lincoln Park,329,41.92911991,-87.65957776,Entire home/apt,230.0,4,53,2018-10-09,0.69,2,362,False,False,False,False,False,0
395257,Trains To Downtown. Mccormick. Iit.,1385332,Patt,,Douglas,1816,41.82869303,-87.62057772,Private room,40.0,1,11,2018-10-14,0.18,8,175,False,False,False,False,False,0
397472,"1 Min To Lake,30 Min To Downtown, Free Parking",782802,Joe,,Rogers Park,5509,42.01454766,-87.66510666,Entire home/apt,71.0,1,321,2018-11-12,6.79,2,12,False,False,False,False,False,0
404792,Eclectic 2Br W/ Vintage Charm,1844352,Christine,,West Town,567,41.88912969,-87.66763217,Entire home/apt,130.0,4,174,2018-10-22,2.25,1,16,False,False,False,False,False,0
408267,"Cozy Room, Classic Chicago House",2032839,Patricia,,Rogers Park,2813,42.01855143,-87.6678223,Private room,45.0,2,49,2018-06-11,0.61,2,359,False,False,False,False,False,0
408268,Private Room Near Lake And Train,2032839,Patricia,,Rogers Park,4801,42.01815148,-87.6683673,Private room,45.0,2,60,2018-08-09,0.78,2,364,False,False,False,False,False,0
412182,Spacious + Convenient Logan Square One Bed Apt,2052009,Sarah,,Logan Square,6113,41.91891127,-87.69902166,Entire home/apt,90.0,2,110,2018-10-31,1.38,1,356,False,False,False,False,False,0
422214,Wicker Park2 Unitssleeps 6 18By Train/ Downtown,1802802,Niki,,West Town,3808,41.89843164,-87.66659355,Entire home/apt,250.0,2,114,2018-11-04,1.44,1,361,False,False,False,False,False,0
446474,Vintage Ukrainian Village Apt,2217180,Yuri,,West Town,1240,41.90095192,-87.68181154,Entire home/apt,175.0,3,4,2015-08-15,0.05,1,313,False,False,False,False,False,0
450648,Luxury Space Come & Relax,2204693,Dl,,Near South Side,5580,41.86614375,-87.62275057,Private room,119.0,3,38,2018-06-21,0.48,1,24,False,False,False,False,False,0
464581,"Large, Private Logan Square Studio",2308792,Jonathan,,Logan Square,4876,41.92450711,-87.6938524,Entire home/apt,49.0,1,525,2018-10-29,6.92,2,80,False,False,False,False,False,0
477733,Pilsenartsdist/ Uic/ Mccormickplace,2367351,Leila,,Lower West Side,3607,41.85329393,-87.66539433,Entire home/apt,200.0,2,161,2018-11-11,2.05,1,242,False,False,False,False,False,0
479086,Hostel Earphoria,337459,Earphoria,,Avondale,2871,41.93244952,-87.71528138,Shared room,20.0,1,153,2018-10-12,1.94,1,365,False,False,False,False,False,0
484898,Charming 1906 Cottage Northside,2400107,Allison,,Uptown,6188,41.97053392,-87.67266978,Entire home/apt,225.0,3,14,2018-06-11,0.18,1,0,False,True,False,False,False,0
488097,Chicago Room Minutes From Downtown,2414938,Sara,,West Town,7021,41.9117341,-87.67310427,Private room,60.0,3,14,2018-08-26,0.49,1,240,False,False,False,False,False,0
